measure,def,fmt,source
Total,Total Population,int,"ACS 5-Year, 2019 - 2023"
Under 18,Under 18 Years Old,pct,"ACS 5-Year, 2019 - 2023"
18 to 64,18 to 64 Years Old,pct,"ACS 5-Year, 2019 - 2023"
Over 64,Over 64 Years Old,pct,"ACS 5-Year, 2019 - 2023"
Below 9th grade,Did Not Attend High School,pct,"ACS 5-Year, 2019 - 2023"
High School,Graduated High School,pct,"ACS 5-Year, 2019 - 2023"
College,Graduated College,pct,"ACS 5-Year, 2019 - 2023"
Advanced Degree,Completed a Graduate Degree,pct,"ACS 5-Year, 2019 - 2023"
White,White (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Black,Black (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Asian,Asian (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
AIAN,American Indian and Alaska Native (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
NHOPI,Native Hawaiian and Other Pacific Islander (non-Hispanic),pct,"ACS 5-Year, 2019 - 2023"
Hispanic,Hispanic,pct,"ACS 5-Year, 2019 - 2023"
Other Races,Other Non-Hispanic Race,pct,"ACS 5-Year, 2019 - 2023"
Urban Percentage,Urbanized Residents,pct,"US Census Bureau, 2020 Decennial Census"
Insurance Coverage,Insured,pct,"ACS 5-Year, 2019 - 2023"
Medicaid Enrollment,Enrolled in Medicaid,pct,"ACS 5-Year, 2019 - 2023"
Gini Coefficient,Income Inequality (Gini Coefficient),int,"ACS 5-Year, 2019 - 2023"
Household Income,Household Income ($),int,"ACS 5-Year, 2019 - 2023"
Annual Labor Force Participation Rate,Annual Labor Force Participation,pct,"ACS 5-Year, 2019 - 2023"
Annual Unemployment Rate,Annual Unemployment Rate,pct,"ACS 5-Year, 2019 - 2023"
Below Poverty,Living Below Poverty,pct,"ACS 5-Year, 2019 - 2023"
Uninsured,Uninsured,pct,"ACS 5-Year, 2019 - 2023"
Vacancy Rate,Vacant Housing,pct,"ACS 5-Year, 2019 - 2023"
No Vehicle,No Household Vehicle Access,pct,"ACS 5-Year, 2019 - 2023"
Rent Burden (40% Income),High Rent Burden,pct,"ACS 5-Year, 2019 - 2023"
Received Public Assistance,Received TANF or SNAP Public Assistance,pct,"ACS 5-Year, 2019 - 2023"
Lack English Prof,Lack Proficiency in English,pct,"ACS 5-Year, 2019 - 2023"
Median Home Value,Median Home Value ($),int,"ACS 5-Year, 2019 - 2023"
Median Monthly Mortgage,Median Monthly Mortgage ($),int,"ACS 5-Year, 2019 - 2023"
Median Gross Rent,Median Gross Rent ($),int,"ACS 5-Year, 2019 - 2023"
Mobile Homes,Housing in Mobile Homes,pct,"ACS 5-Year, 2019 - 2023"
Multi-Unit Structures,Housing in Multi-Unit Structures,pct,"ACS 5-Year, 2019 - 2023"
Owner Occupied Housing,Owner-occupied Housing Units,pct,"ACS 5-Year, 2019 - 2023"
Crowded Housing,Crowded Homes,pct,"ACS 5-Year, 2019 - 2023"
No Home Broadband,Homes without Broadband Internet,pct,"ACS 5-Year, 2019 - 2023"
Lack Complete Plumbing,Homes without Complete Plumbing,pct,"ACS 5-Year, 2019 - 2023"
Single Parent Household,Single Parent Homes,pct,"ACS 5-Year, 2019 - 2023"
Cancer Prevalence,History of Cancer Diagnosis,pct,"CDC PLACES, 2024"
Binge Drinking,Binge Drink,pct,"CDC PLACES, 2024"
Met Breast Screen,Met Breast Screening Recommendations,pct,"CDC PLACES, 2024  (HP2030 Goal: 80.5%)"
BMI Obese,Obese (BMI over 30),pct,"CDC PLACES, 2024 (HP2030 Goal: 36.0%)"
Currently Smoke,Currently Smoke (adults),pct,"CDC PLACES, 2024 (HP2030 Goal: 6.1%)"
Met Colon Screen,Met Colorectal Screening Recommendations,pct,"CDC PLACES, 2024 (HP2030 Goal: 74.4%)"
Met Cervical Screen,"Had Pap Test in Last 3 Years, Age 21-64",pct,"CDC PLACES, 2024 (HP2030 Goal: 84.3%)"
High BP,Have High Blood Pressure,pct,"CDC PLACES, 2024"
BP Medicine,On Blood Pressure Medication,pct,"CDC PLACES, 2024"
High Cholesterol,Have High Cholesterol,pct,"CDC PLACES, 2024"
Asthma,Diagnosed with Asthma,pct,"CDC PLACES, 2024"
CHD,Have Coronary Heart Disease,pct,"CDC PLACES, 2024"
Recent Checkup,Had a Medical Checkup in the Last Year,pct,"CDC PLACES, 2024"
COPD,Have COPD,pct,"CDC PLACES, 2024"
Recent Dentist,Had a Dental Visit in the Last Year,pct,"CDC PLACES, 2024"
Depression,Have Depression,pct,"CDC PLACES, 2024"
Diabetes DX,Diagnosed with Diabetes,pct,"CDC PLACES, 2024"
Bad Health,Report Fair or Poor Overall Health,pct,"CDC PLACES, 2024"
Kidney Disease,Have Chronic Kidney Disease,pct,"CDC PLACES, 2024"
Physically Inactive,Physically Inactive,pct,"CDC PLACES, 2024"
Poor Mental,Report Frequent Mental Health Distress,pct,"CDC PLACES, 2024"
Poor Physical,Report Frequent Physical Health Distress,pct,"CDC PLACES, 2024"
Sleep Debt,Sleep < 7 Hours a Night,pct,"CDC PLACES, 2024"
Had Stroke,Had a Stroke,pct,"CDC PLACES, 2024"
No Teeth,All Adult Teeth Lost,pct,"CDC PLACES, 2024"
Hearing Disability,Hearing Disability,pct,"CDC PLACES, 2024"
Vision Disability,Vision Disability,pct,"CDC PLACES, 2024"
Cognitive Disability,Cognitive Disability,pct,"CDC PLACES, 2024"
Mobility Disability,Mobility Disability,pct,"CDC PLACES, 2024"
Selfcare Disability,Self-care Disability,pct,"CDC PLACES, 2024"
Independent Living Disability,Independent Living Disability,pct,"CDC PLACES, 2024"
Socially Isolated,Felt Socially Isolated in Last 12 Months,pct,"CDC PLACES, 2024"
Food Insecure,Experienced Food Insecurity in Last 12 Months,pct,"CDC PLACES, 2024"
Housing Insecure,Experienced Housing Insecurity in Last 12 Months,pct,"CDC PLACES, 2024"
Lacked Reliable Transportation,Lacked Reliable Transportation in Last 12 Months,pct,"CDC PLACES, 2024"
Lacked Social Emotional Support,Lacked Social/Emotional Support in Last 12 Months,pct,"CDC PLACES, 2024"
PWS Violations Since 2016,Public Water System Violations since 2016,int,"EPA, 2024"
LILATracts Vehicle,Tracts that are Food Deserts,pct,"USDA ERS, 2019"
Lead Paint,Housing Units Built Pre-1960,pct,"EJScreen, 2024"
Diesel PM,Diesel Particulate Matter (annual avg. mcg/m^3),int,"EJScreen, 2024"
Air Toxics Cancer,Lifetime Cancer Risk from Air Toxics (per 1 million people),int,"EJScreen, 2024"
Air Toxics Resp,Air Toxics Respiratory Hazard Index,int,"EJScreen, 2024"
Toxics Release to Air,Toxic Releases to Air,int,"EJScreen, 2024"
Traffic Proximity,Traffic Volume,int,"EJScreen, 2024"
Water Discharge,Toxic Water Discharge,int,"EJScreen, 2024"
Superfund Proximity,Superfund Proximity,int,"EJScreen, 2024"
RMP Proximity,Risk Management Plan Facility Proximity,int,"EJScreen, 2024"
Hazardous Waste Proximity,Hazardous Waste Proximity,int,"EJScreen, 2024"
Ozone,Annual Ozone Average (ppb),int,"EJScreen, 2024"
Underground Storage Tanks,Underground Storage Tanks,int,"EJScreen, 2024"
PM25,Particulate Matter 2.5 (annual avg. mcg/m^3),int,"EJScreen, 2024"
Nitrogen Dioxide,Nitrogen Dioxide (average annual part per billion),int,"EJScreen, 2024"
Drinking Water Noncompliance,Drinking Water Non-Compliance,int,"EJScreen, 2024"
Economic Segregation,Economic Segregation,int,"ACS 5-Year, 2019 - 2023"
Racial Segregation,Racial Segregation,int,"ACS 5-Year, 2019 - 2023"
Racial Economic Segregation,Racial Economic Segregation,int,"ACS 5-Year, 2019 - 2023"
Gender Pay Gap,Gender Pay Gap,int,"ACS 5-Year, 2019 - 2023"
Uninsured Children,Children without Health Insurance,pct,"ACS 5-Year, 2019 - 2023"
Uninsured (Black),Black Population without Health Insurance,pct,"ACS 5-Year, 2019 - 2023"
Uninsured (Hispanic),Hispanic Population without Health Insurance,pct,"ACS 5-Year, 2019 - 2023"
Living Below Poverty (Black),Black Population Living Below Poverty,pct,"ACS 5-Year, 2019 - 2023"
Living Below Poverty (Hispanic),Hispanic Population Living Below Poverty,pct,"ACS 5-Year, 2019 - 2023"
Incidence All Site,All Cancer Site ,int,"US Cancer Statistics, 2017 - 2021"
Incidence Bladder,Bladder Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Brain & ONS,Brain Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Colon & Rectum,Colorectal Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Colon & Rectum (Early Stage),Colorectal Cancer (Early Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Colon & Rectum (Late Stage),Colorectal Cancer (Late Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Colon & Rectum (45-75 years),Colorectal Cancer (45-75 years),int,"US Cancer Statistics, 2017 - 2021"
Incidence Esophagus,Esophageal Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Kidney & Renal Pelvis,Kidney Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Leukemia,Leukemia,int,"US Cancer Statistics, 2017 - 2021"
Incidence Liver & IBD,Liver Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Lung & Bronchus,Lung Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Lung & Bronchus (Early Stage),Lung Cancer (Early Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Lung & Bronchus (Late Stage),Lung Cancer (Late Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Lung & Bronchus (50-80 years),Lung Cancer (50-80 years),int,"US Cancer Statistics, 2017 - 2021"
Incidence Melanoma of the Skin,Melanoma,int,"US Cancer Statistics, 2017 - 2021"
Incidence Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,int,"US Cancer Statistics, 2017 - 2021"
Incidence Oral Cavity & Pharynx,Oral Cavity and Pharynx Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Pancreas,Pancreatic Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Stomach,Stomach Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Thyroid,Thyroid Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Female Breast,Female Breast Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Female Breast (Early Stage),Female Breast Cancer (Early Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Female Breast (Late Stage),Female Breast Cancer (Late Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Female Breast (40-74 years),Female Breast Cancer (40-74 years),int,"US Cancer Statistics, 2017 - 2021"
Incidence Cervix,Cervical Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Cervix (Early Stage),Cervical Cancer (Early Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Cervix (Late Stage),Cervical Cancer (Late Stage),int,"US Cancer Statistics, 2017 - 2021"
Incidence Cervix (21-65 years),Cervical Cancer (21-65 years),int,"US Cancer Statistics, 2017 - 2021"
Incidence Ovary,Ovarian Cancer,int,"US Cancer Statistics, 2017 - 2021"
"Incidence Corpus Uteri & Uterus, NOS",Uterine Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Prostate,Prostate Cancer,int,"US Cancer Statistics, 2017 - 2021"
Incidence Alcohol-associated,Alcohol-associated Cancers,int,"US Cancer Statistics, 2017 - 2021"
Incidence HPV-associated,HPV-associated Cancers,int,"US Cancer Statistics, 2017 - 2021"
Incidence Obesity-associated,Obesity-associated Cancers,int,"US Cancer Statistics, 2017 - 2021"
Incidence Tobacco-associated,Tobacco-associated Cancers,int,"US Cancer Statistics, 2017 - 2021"
Incidence Head and Neck,Head and Neck Cancers,int,"US Cancer Statistics, 2017 - 2021"
Incidence Pediatric (0-19 years),Pediatric Cancers (0-19 years),int,"US Cancer Statistics, 2017 - 2021"
Incidence AYA (15-39 years),Adolescent and Young Adults Cancers (15-39 years),int,"US Cancer Statistics, 2017 - 2021"
Mortality All Site,All Cancer Site ,int,"State Cancer Profiles, 2018 - 2022"
Mortality Bladder,Bladder Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Brain & ONS,Brain Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Colon & Rectum,Colorectal Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Esophagus,Esophageal Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Kidney & Renal Pelvis,Kidney Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Leukemia,Leukemia,int,"State Cancer Profiles, 2018 - 2022"
Mortality Liver & IBD,Liver Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Lung & Bronchus,Lung Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Melanoma of the Skin,Melanoma,int,"State Cancer Profiles, 2018 - 2022"
Mortality Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,int,"State Cancer Profiles, 2018 - 2022"
Mortality Oral Cavity & Pharynx,Oral Cavity and Pharynx Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Pancreas,Pancreatic Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Stomach,Stomach Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Thyroid,Thyroid Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Female Breast,Female Breast Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Cervix,Cervical Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Ovary,Ovarian Cancer,int,"State Cancer Profiles, 2018 - 2022"
"Mortality Corpus Uteri & Uterus, NOS",Uterine Cancer,int,"State Cancer Profiles, 2018 - 2022"
Mortality Prostate,Prostate Cancer,int,"State Cancer Profiles, 2018 - 2022"
pctBB 100 20,Housing Units with 100/20 Mbps Broadband Service,pct,"FCC, December 2023"
pctBB 1000 100,Housing Units with 1000/100 Mbps Broadband Service,pct,"FCC, December 2023"
pct5G 7 1,Area with 7/1 Mbps Mobile 5G Coverage,pct,"FCC, December 2023"
pct5G 35 3,Area with 35/3 Mbps Mobile 5G Coverage,pct,"FCC, December 2023"
SVI SES,SVI Theme 1: Socioeconomic Status,int,"CDC/ATSDR, 2024"
SVI Household,SVI Theme 2: Household Characteristics,int,"CDC/ATSDR, 2024"
SVI Minority,SVI Theme 3: Racial & Ethnic Minority Status,int,"CDC/ATSDR, 2024"
SVI Housing,SVI Theme 4: Housing Type & Transportation,int,"CDC/ATSDR, 2024"
SVI Overall,SVI Overall,int,"CDC/ATSDR, 2024"
